Max of 2011,Column Labels,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,WP11630.1.1,WP11630.1.10,WP11630.1.11,WP11630.1.2,WP11630.1.3,WP11630.1.4,WP11630.1.5,WP11630.1.6,WP11630.1.7,WP11630.1.8,WP11630.1.9,WP11631.1.1,WP11631.1.10,WP11631.1.11,WP11631.1.2,WP11631.1.3,WP11631.1.4,WP11631.1.5,WP11631.1.6,WP11631.1.7,WP11631.1.8,WP11631.1.9,Grand Total,
Afghanistan,5.155655,,,,,,,,,,,0,,,,,,,,,,,5.155655,Afghanistan
Albania,64.71838,54.64382,72.56166,63.70652,66.27618,72.18166,63.02192,39.39871,71.0733,60.43151,66.20234,12.26997,8.456477,15.15138,12.30629,12.21412,8.269194,13.15845,7.038999,13.5521,13.38778,11.85928,72.56166,Albania
Algeria,14.16798,22.93018,12.64493,13.43871,15.82116,15.26425,13.8849,13.35967,15.4795,3.976729,19.52308,2.328966,0,2.471442,2.287897,2.418703,3.379338,2.046457,1.864787,3.094354,2.325013,2.331112,22.93018,Algeria
Angola,49.00656,54.76759,38.10372,50.58606,47.45914,57.61327,45.74917,48.34255,50.78109,49.92878,48.46759,7.890351,9.310656,5.206122,7.402963,8.364124,11.25935,6.516066,5.203803,10.19424,7.226578,8.27487,57.61327,Angola
Argentina,80.29336,57.95614,85.48447,79.62813,80.93309,89.86599,79.14275,67.4503,87.86637,72.55762,83.60292,19.95022,24.86286,18.35176,20.18176,19.73518,19.09045,20.057,7.173603,27.51248,5.598487,26.48043,89.86599,Argentina
Armenia,55.37634,49.64201,61.48342,61.64609,50.41946,69.73969,52.08707,60.84853,54.88566,54.45524,55.84661,12.38381,18.21495,5.975798,12.16018,12.55821,16.39195,11.40717,25.87871,11.04274,11.34522,12.91634,69.73969,Armenia
Australia,68.50222,59.48244,70.87693,73.17207,64.29494,78.98838,66.92346,53.76797,69.16653,59.86386,73.34166,4.020435,3.72831,4.112478,2.17914,5.673686,6.805654,3.551831,0,4.09018,2.923996,4.632967,78.98838,Australia
Austria,76.71346,78.34181,74.09415,81.3744,72.97906,82.04349,75.91103,79.33479,76.42486,66.96804,83.08952,9.493212,8.847764,10.25746,10.15788,8.960668,5.687939,9.885077,18.51447,9.204172,7.537152,10.77299,83.08952,Austria
Azerbaijan,88.22781,87.85278,88.85037,89.08311,87.38776,94.74483,87.67052,93.66599,87.41849,83.02229,91.19684,12.69338,8.412985,19.54886,17.26392,8.163604,20.17143,11.86147,11.69074,12.85273,8.720342,14.7648,94.74483,Azerbaijan
Cambodia,34.98191,,,,,,,,,,,0,,,,,,,,,,,34.98191,Cambodia
Cameroon,5.83892,4.173229,11.13884,5.851029,5.818371,15.38695,4.486527,0.9942179,12.98796,2.900675,7.675098,1.10797,1.466165,0,1.753876,0,7.036275,0.2590576,0.9942179,1.273029,2.311253,0.3642887,15.38695,Cameroon
