Date,Team,Opponent,Team Score,Opponent Score,Location,Team Margin,Team Result,Team Location,Team Avg Scoring Margin,Opponent Average Scoring Margin
3/10/13,Albany NY,Stony Brook,61,59,Albany NY,2,Win,Home,4.12,9.90
3/10/13,Stony Brook,Albany NY,59,61,Albany NY,-2,Loss,Away,9.90,4.12
3/10/13,Indiana,Michigan,72,71,Michigan,1,Win,Away,18.55,11.93
3/10/13,Michigan,Indiana,71,72,Michigan,-1,Loss,Home,11.93,18.55
3/10/13,Michigan St,Northwestern,71,61,Michigan St,10,Win,Home,8.67,-2.58
3/10/13,Northwestern,Michigan St,61,71,Michigan St,-10,Loss,Away,-2.58,8.67
3/10/13,Ohio St,Illinois,68,55,Ohio St,13,Win,Home,11.47,3.87
3/10/13,Illinois,Ohio St,55,68,Ohio St,-13,Loss,Away,3.87,11.47
3/10/13,Wisconsin,Penn St,63,60,Penn St,3,Win,Away,10.10,-6.27
3/10/13,Penn St,Wisconsin,60,63,Penn St,-3,Loss,Home,-6.27,10.10
3/10/13,Temple,VA Commonwealth,84,76,Temple,8,Win,Home,4.97,13.55
3/10/13,VA Commonwealth,Temple,76,84,Temple,-8,Loss,Away,13.55,4.97
3/10/13,Virginia,Maryland,61,58,Virginia,3,Win,Home,9.81,7.10
3/10/13,Maryland,Virginia,58,61,Virginia,-3,Loss,Away,7.10,9.81
3/10/13,Wake Forest,Virginia Tech,90,79,Wake Forest,11,Win,Home,-2.40,-4.13
3/10/13,Virginia Tech,Wake Forest,79,90,Wake Forest,-11,Loss,Away,-4.13,-2.40
3/9/13,Air Force,New Mexico,89,88,Air Force,1,Win,Home,1.11,6.74
3/9/13,New Mexico,Air Force,88,89,Air Force,-1,Loss,Away,6.74,1.11
3/9/13,Kent,Akron,68,64,Akron,4,Win,Away,4.06,9.13
3/9/13,Akron,Kent,64,68,Akron,-4,Loss,Home,9.13,4.06
3/9/13,Alabama,Georgia,61,58,Alabama,3,Win,Home,3.50,-0.65
3/9/13,Georgia,Alabama,58,61,Alabama,-3,Loss,Away,-0.65,3.50
3/9/13,Albany NY,Maine,50,49,Albany NY,1,Win,Home,4.12,-5.45
3/9/13,Maine,Albany NY,49,50,Albany NY,-1,Loss,Away,-5.45,4.12
3/9/13,Arizona,Arizona St,73,58,Arizona,15,Win,Home,9.97,4.55
3/9/13,Arizona St,Arizona,58,73,Arizona,-15,Loss,Away,4.55,9.97
3/9/13,Arkansas,Texas A&M,73,62,Arkansas,11,Win,Home,5.10,1.81
3/9/13,Texas A&M,Arkansas,62,73,Arkansas,-11,Loss,Away,1.81,5.10
3/9/13,Ball St,N Illinois,53,51,Ball St,2,Win,Home,-3.14,-10.11
3/9/13,N Illinois,Ball St,51,53,Ball St,-2,Loss,Away,-10.11,-3.14
3/9/13,Baylor,Kansas,81,58,Baylor,23,Win,Home,6.73,13.35
3/9/13,Kansas,Baylor,58,81,Baylor,-23,Loss,Away,13.35,6.73
3/9/13,Boise St,San Diego St,69,65,Boise St,4,Win,Home,4.69,7.75
3/9/13,San Diego St,Boise St,65,69,Boise St,-4,Loss,Away,7.75,4.69
3/9/13,Boston College,Georgia Tech,74,72,Boston College,2,Win,Home,-1.29,2.67
3/9/13,Georgia Tech,Boston College,72,74,Boston College,-2,Loss,Away,2.67,-1.29
3/9/13,Bowling Green,Buffalo,76,65,Bowling Green,11,Win,Home,-0.83,-2.57
3/9/13,Buffalo,Bowling Green,65,76,Bowling Green,-11,Loss,Away,-2.57,-0.83
3/9/13,Brown,Princeton,80,67,Brown,13,Win,Home,-3.30,4.50
