Rank,Value,Player,Yr,Ht,Wt,Gms,Team
1,23.643,T.J. Warren,So,8-Jun,233,28,NC State
2,18.828,Jabari Parker,Fr,8-Jun,235,29,Duke
3,18.172,Olivier Hanlan,So,4-Jun,184,29,Boston College
3,19,Jerian Grant,Sr,5-Jun,203,12,Notre Dame
4,17.241,Lamar Patterson,Sr,5-Jun,225,29,Pittsburgh
4,17.241,Marcus Paige,So,1-Jun,175,29,North Carolina
6,17.107,K.J. McDaniels,Jr,6-Jun,200,28,Clemson
7,16.345,C.J. Fair,Sr,8-Jun,215,29,Syracuse
8,16.276,Rodney Hood,So,8-Jun,215,29,Duke
9,15.034,Rion Brown,Sr,6-Jun,211,29,Miami (FL)
10,14.828,Dezmine Wells,Jr,5-Jun,215,29,Maryland
11,14.517,Ryan Anderson,Jr,9-Jun,216,29,Boston College
12,14.207,James Michael McAdoo,Jr,9-Jun,230,29,North Carolina
13,13.885,Ian Miller,Sr,3-Jun,198,26,Florida State
14,13.679,Aaron Thomas,So,5-Jun,195,28,Florida State
15,13.667,Eric Atkins,Sr,2-Jun,182,30,Notre Dame
16,13.567,Garrick Sherman,Sr,11-Jun,255,30,Notre Dame
17,13.5,Pat Connaughton,Jr,5-Jun,214,30,Notre Dame
18,13.429,Jarell Eddie,Sr,7-Jun,220,28,Virginia Tech
19,13.321,Codi Miller-McIntyre,So,3-Jun,195,28,Wake Forest
20,12.793,Trevor Cooney,So,4-Jun,195,29,Syracuse
21,12.741,Trae Golden,Sr,2-Jun,205,27,Georgia Tech
22,12.714,Okaro White,Sr,8-Jun,204,28,Florida State
23,12.643,Talib Zanna,Jr,9-Jun,230,28,Pittsburgh
24,12.6,Malcolm Brogdon,So,5-Jun,217,30,Virginia
25,12.069,Tyler Ennis,Fr,2-Jun,180,29,Syracuse
26,11.897,Marcus Georges-Hunt,So,5-Jun,219,29,Georgia Tech
27,11.821,Jerami Grant,So,8-Jun,210,28,Syracuse
28,11.724,Quinn Cook,Jr,2-Jun,180,29,Duke
29,11.621,Jake Layman,So,8-Jun,205,29,Maryland
30,11.414,Devin Thomas,So,9-Jun,245,29,Wake Forest
31,11.333,Joe Harris,Sr,6-Jun,225,30,Virginia
32,11.138,Travis McKie,Sr,7-Jun,220,29,Wake Forest
33,11.069,Daniel Miller,Sr,11-Jun,275,29,Georgia Tech
33,11,Adam Smith,So,1-Jun,170,14,Virginia Tech
34,11.034,Evan Smotrycz,Jr,8-Jun,230,29,Maryland
34,10.8,Ben Emelogu,Fr,5-Jun,205,20,Virginia Tech
34,11.034,Cameron Wright,Jr,4-Jun,205,29,Pittsburgh
36,10.345,Ralston Turner,Jr,5-Jun,209,29,NC State
37,10.103,Brice Johnson,So,9-Jun,210,29,North Carolina
37,10.103,Garrius Adams,,6-Jun,200,29,Miami (FL)
39,9.793,Nick Faust,So,6-Jun,175,29,Maryland
40,9.5,Devin Wilson,Fr,4-Jun,185,28,Virginia Tech
41,9.393,Rod Hall,Jr,1-Jun,210,28,Clemson
42,9.379,J.P. Tokoto,So,5-Jun,200,29,North Carolina
43,9.321,Rasheed Sulaimon,So,4-Jun,190,28,Duke
44,9.172,Desmond Lee,Jr,4-Jun,194,29,NC State
44,9.172,Coron Williams,,1-Jun,175,29,Wake Forest
46,9,Joe Rahon,So,2-Jun,195,29,Boston College
46,9,Anthony `Cat` Barber,Fr,2-Jun,165,29,NC State
48,8.867,Justin Anderson,So,6-Jun,227,30,Virginia
49,8.862,Tyler Cavanaugh,Fr,9-Jun,230,29,Wake Forest
50,8.5,Montay Brandon,So,7-Jun,216,28,Florida State
50,8.5,Andre Dawkins,Sr,5-Jun,215,28,Duke
51,8.813,Durand Johnson,So,6-Jun,205,16,Pittsburgh
52,8.321,Devon Bookert,So,3-Jun,185,28,Florida State
53,8.034,Donnavan Kirk,,9-Jun,228,29,Miami (FL)
54,7.966,Manu Lecomte,Fr,9-May,159,29,Miami (FL)
55,7.897,James Robinson,So,3-Jun,200,29,Pittsburgh
56,7.733,Anthony Gill,So,8-Jun,230,30,Virginia
57,7.724,Kennedy Meeks,Fr,9-Jun,290,29,North Carolina
58,7.346,Lonnie Jackson,Jr,4-Jun,182,26,Boston College
59,7.241,Kammeon Holsey,Sr,8-Jun,234,29,Georgia Tech
60,7.2,Akil Mitchell,Sr,8-Jun,235,30,Virginia
61,7.037,Jordan Roper,So,11-May,165,27,Clemson
62,7,James Kelly,Jr,7-Jun,246,23,Miami (FL)
63,6.929,Damarcus Harrison,Jr,4-Jun,200,28,Clemson
64,6.862,Charles Mitchell,Fr,8-Jun,260,29,Maryland
65,6.8,Mike Tobey,So,11-Jun,253,30,Virginia
66,6.655,Amile Jefferson,So,9-Jun,210,29,Duke
67,6.552,Arnaud William Adala,So,6-Jun,225,29,Wake Forest
68,6.483,Davon Reed,Fr,6-Jun,208,29,Miami (FL)
69,6.464,Zach Auguste,So,10-Jun,242,28,Notre Dame
70,6.25,Demetrius Jackson,Fr,1-Jun,195,28,Notre Dame
71,6.222,Landry Nnoko,So,10-Jun,255,27,Clemson
72,5.931,Michael Young,Fr,8-Jun,245,29,Pittsburgh
73,5.897,Rakeem Christmas,Jr,9-Jun,250,29,Syracuse
74,6.067,Solomon Poole,So,Jun-00,190,15,Georgia Tech
74,5.857,Boris Bojanovsky,So,3-Jul,235,28,Florida State
75,5.808,Chris Bolden,So,3-Jun,216,26,Georgia Tech
76,5.607,Joey van Zegeren,So,10-Jun,225,28,Virginia Tech
77,5.357,Patrick Heckmann,Jr,6-Jun,208,28,Boston College
78,5.333,Cadarian Raines,Sr,9-Jun,238,21,Virginia Tech
79,5.172,Nate Britt,Fr,11-May,165,29,North Carolina
80,5.138,Kyle Washington,Fr,9-Jun,225,29,NC State
81,4.963,Trevor Thompson,Fr,11-Jun,210,27,Virginia Tech
82,4.828,Jamel Artis,Fr,7-Jun,230,29,Pittsburgh
83,4.8,London Perrantes,Fr,2-Jun,189,30,Virginia
84,4.76,Steve Vasturia,Fr,6-Jun,207,25,Notre Dame
85,4.643,Jaron Blossomgame,Fr,7-Jun,215,28,Clemson
93,4.25,Travis Jorgenson,Fr,Jun-00,177,4,Georgia Tech
2,15.714,Jordan Reed,So,4-Jun,205,28,Binghamton
3,15.103,Mark Nwakamma,Jr,6-Jun,235,29,Hartford
4,14.931,Rodney Elliott,Fr,Jun-00,180,29,Maryland-Baltimore County
5,14.87,Xavier Pollard,Jr,3-Jun,190,23,Maine
6,14.821,Peter Hooley,Fr,4-Jun,200,28,Albany
7,14.733,Jameel Warney,So,8-Jun,260,30,Stony Brook
8,13.1,Clancy Rugg,Sr,8-Jun,195,30,Vermont
9,12.926,Anthony Jackson,Sr,Jun-00,185,27,Stony Brook
10,12.833,Sandro Carissimo,Sr,2-Jun,170,30,Vermont
11,12.704,Carson Puriefoy,So,Jun-00,175,27,Stony Brook
12,11.462,Yosef Yacob,Fr,Jun-00,170,26,Binghamton
13,11.31,Sam Rowley,So,6-Jun,230,29,Albany
14,11.259,Zarko Valjarevic,Jr,4-Jun,210,27,Maine
15,11.138,DJ Evans,Jr,9-May,175,29,Albany
16,11.111,Gary Johnson,Jr,6-Jun,200,27,Albany
17,10.81,Nick Madray,Fr,9-Jun,215,21,Binghamton
17,10.767,Dave Coley,Sr,2-Jun,190,30,Stony Brook
18,10.6,Dimitry Akanda-Coron,So,4-Jun,190,25,Maine
19,10.517,Jordon Bronner,Sr,Jun-00,170,29,New Hampshire
20,10.5,Chase Plummer,Sr,6-Jun,235,28,Maryland-Baltimore County
22,10.032,Yolonzo Moore II,Jr,2-Jun,175,31,Hartford
23,9.467,Candon Rusin,Sr,4-Jun,190,30,Vermont
24,9.419,Wes Cole,Jr,Jun-00,165,31,Hartford
25,9.286,Marlon Beck II,Fr,11-May,175,28,Binghamton
26,8.12,Daniel Dion,Fr,Jun-00,175,25,New Hampshire
27,8.037,Shaun Lawton,So,5-Jun,190,27,Maine
28,7.926,Jacoby Armstrong,Fr,7-Jun,230,27,New Hampshire
29,7.759,Eric McAlister,Sr,8-Jun,220,29,Stony Brook
31,7.71,Taylor Dyson,So,4-Jun,185,31,Hartford
31,7.286,Yasin Kolo,So,10-Jun,245,7,Hartford
32,7.679,Till Gloger,So,8-Jun,220,28,Maine
33,7.483,Luke Apfeld,Sr,7-Jun,215,29,Vermont
34,7.167,Ahmad Walker,Fr,4-Jun,185,30,Stony Brook
35,7,Evan Cooper,So,Jun-00,185,28,Hartford
37,6.88,Quentin Jones,Sr,Jun-00,185,25,Maryland-Baltimore County
38,6.633,Brian Voelkel,Sr,6-Jun,210,30,Vermont
39,6.36,Troy Reid-Knight,Fr,Jun-00,190,25,Maine
40,6.172,Malik Garner,So,6-Jun,225,29,Maryland-Baltimore County
41,6.138,Kurt Steidel,Fr,6-Jun,185,29,Vermont
