,team,games,opp_points,opp_ppg,ft,fta,ftp,gm,to,topg
0,Virginia,31.0,1718.0,55.4,444.0,672.0,66.1,31.0,317.0,10.2
1,San Diego St.,30.0,1715.0,57.2,510.0,782.0,65.2,30.0,305.0,10.2
2,Clemson,30.0,1727.0,57.6,421.0,574.0,73.3,30.0,332.0,11.1
3,Cincinnati,31.0,1809.0,58.4,489.0,683.0,71.6,31.0,344.0,11.1
4,Ohio St.,31.0,1832.0,59.1,497.0,716.0,69.4,31.0,342.0,11.0
5,N.C. Central,30.0,1777.0,59.2,557.0,772.0,72.2,30.0,350.0,11.7
6,Syracuse,31.0,1838.0,59.3,458.0,655.0,69.9,31.0,278.0,9.0
7,American,31.0,1840.0,59.4,356.0,504.0,70.6,31.0,430.0,13.9
8,Miami (FL),31.0,1844.0,59.5,390.0,574.0,67.9,31.0,312.0,10.1
9,Wichita St.,34.0,2026.0,59.6,640.0,877.0,73.0,34.0,353.0,10.4
10,Harvard,30.0,1815.0,60.5,545.0,751.0,72.6,30.0,342.0,11.4
11,Vermont,32.0,1937.0,60.5,563.0,770.0,73.1,32.0,382.0,11.9
12,Saint Louis,31.0,1888.0,60.9,496.0,700.0,70.9,31.0,390.0,12.6
13,Wyoming,31.0,1905.0,61.5,476.0,663.0,71.8,31.0,321.0,10.4
14,Tennessee,31.0,1915.0,61.8,509.0,715.0,71.2,31.0,326.0,10.5
15,SMU,31.0,1925.0,62.1,490.0,718.0,68.2,31.0,428.0,13.8
16,Wright St.,33.0,2050.0,62.1,530.0,719.0,73.7,33.0,442.0,13.4
17,Southern Miss.,31.0,1933.0,62.4,591.0,859.0,68.8,31.0,411.0,13.3
18,Texas A&M,31.0,1939.0,62.5,409.0,639.0,64.0,31.0,347.0,11.2
19,Stephen F. Austin,31.0,1940.0,62.6,508.0,718.0,70.8,31.0,348.0,11.2
20,Southern U.,31.0,1942.0,62.6,442.0,704.0,62.8,31.0,410.0,13.2
21,Western Ill.,30.0,1880.0,62.7,362.0,545.0,66.4,30.0,400.0,13.3
22,Middle Tenn.,31.0,1943.0,62.7,502.0,753.0,66.7,31.0,382.0,12.3
23,Col. of Charleston,32.0,2006.0,62.7,389.0,593.0,65.6,32.0,409.0,12.8
24,Wofford,31.0,1944.0,62.7,383.0,573.0,66.8,31.0,338.0,10.9
25,Northwestern,31.0,1962.0,63.3,401.0,575.0,69.7,31.0,336.0,10.8
26,UConn,31.0,1966.0,63.4,511.0,670.0,76.3,31.0,354.0,11.4
27,Northern Ill.,30.0,1908.0,63.6,542.0,789.0,68.7,30.0,438.0,14.6
28,Denver,30.0,1916.0,63.9,360.0,503.0,71.6,30.0,297.0,9.9
29,Green Bay,30.0,1919.0,64.0,514.0,728.0,70.6,30.0,372.0,12.4
30,Albany (NY),31.0,1983.0,64.0,502.0,676.0,74.3,31.0,394.0,12.7
31,Bucknell,30.0,1922.0,64.1,385.0,516.0,74.6,30.0,321.0,10.7
32,Wisconsin,31.0,1991.0,64.2,536.0,718.0,74.7,31.0,253.0,8.2
33,Princeton,27.0,1739.0,64.4,398.0,551.0,72.2,27.0,301.0,11.1
34,Bowling Green,31.0,2001.0,64.5,395.0,619.0,63.8,31.0,447.0,14.4
35,Cal Poly,29.0,1875.0,64.7,353.0,512.0,68.9,29.0,269.0,9.3
36,Nebraska,30.0,1940.0,64.7,484.0,677.0,71.5,30.0,327.0,10.9
37,San Diego,32.0,2071.0,64.7,457.0,661.0,69.1,32.0,378.0,11.8
38,Old Dominion,31.0,2007.0,64.7,400.0,661.0,60.5,31.0,417.0,13.5
39,Utah Valley,29.0,1879.0,64.8,459.0,606.0,75.7,29.0,324.0,11.2
40,New Hampshire,30.0,1945.0,64.8,356.0,514.0,69.3,30.0,392.0,13.1
41,Vanderbilt,30.0,1950.0,65.0,423.0,642.0,65.9,30.0,401.0,13.4
42,Holy Cross,32.0,2081.0,65.0,498.0,685.0,72.7,32.0,376.0,11.8
43,Savannah St.,30.0,1953.0,65.1,401.0,612.0,65.5,30.0,473.0,15.8
44,Louisiana Tech,31.0,2019.0,65.1,545.0,800.0,68.1,31.0,358.0,11.5
