,Unnamed: 0,Rank,Value,Player,Yr,Ht,Wt,Gms,Team
0,0,1,23.643,T.J. Warren,So,6.8,233,28,NC State
1,1,2,18.828,Jabari Parker,Fr,6.8,235,29,Duke
2,2,3,18.172,Olivier Hanlan,So,6.4,184,29,Boston College
3,3,3,19,Jerian Grant,Sr,6.5,203,12,Notre Dame
4,4,4,17.241,Lamar Patterson,Sr,6.5,225,29,Pittsburgh
5,5,4,17.241,Marcus Paige,So,6.1,175,29,North Carolina
6,6,6,17.107,K.J. McDaniels,Jr,6.6,200,28,Clemson
7,7,7,16.345,C.J. Fair,Sr,6.8,215,29,Syracuse
8,8,8,16.276,Rodney Hood,So,6.8,215,29,Duke
9,9,9,15.034,Rion Brown,Sr,6.6,211,29,Miami (FL)
10,10,10,14.828,Dezmine Wells,Jr,6.5,215,29,Maryland
11,11,11,14.517,Ryan Anderson,Jr,6.9,216,29,Boston College
12,12,12,14.207,James Michael McAdoo,Jr,6.9,230,29,North Carolina
13,13,13,13.885,Ian Miller,Sr,6.3,198,26,Florida State
14,14,14,13.679,Aaron Thomas,So,6.5,195,28,Florida State
15,15,15,13.667,Eric Atkins,Sr,6.2,182,30,Notre Dame
16,16,16,13.567,Garrick Sherman,Sr,6.11,255,30,Notre Dame
17,17,17,13.5,Pat Connaughton,Jr,6.5,214,30,Notre Dame
18,18,18,13.429,Jarell Eddie,Sr,6.7,220,28,Virginia Tech
19,19,19,13.321,Codi Miller-McIntyre,So,6.3,195,28,Wake Forest
20,20,20,12.793,Trevor Cooney,So,6.4,195,29,Syracuse
21,21,21,12.741,Trae Golden,Sr,6.2,205,27,Georgia Tech
22,22,22,12.714,Okaro White,Sr,6.8,204,28,Florida State
23,23,23,12.643,Talib Zanna,Jr,6.9,230,28,Pittsburgh
24,24,24,12.6,Malcolm Brogdon,So,6.5,217,30,Virginia
25,25,25,12.069,Tyler Ennis,Fr,6.2,180,29,Syracuse
26,26,26,11.897,Marcus Georges-Hunt,So,6.5,219,29,Georgia Tech
27,27,27,11.821,Jerami Grant,So,6.8,210,28,Syracuse
28,28,28,11.724,Quinn Cook,Jr,6.2,180,29,Duke
29,29,29,11.621,Jake Layman,So,6.8,205,29,Maryland
30,30,30,11.414,Devin Thomas,So,6.9,245,29,Wake Forest
31,31,31,11.333,Joe Harris,Sr,6.6,225,30,Virginia
32,32,32,11.138,Travis McKie,Sr,6.7,220,29,Wake Forest
33,33,33,11.069,Daniel Miller,Sr,6.11,275,29,Georgia Tech
34,34,33,11,Adam Smith,So,6.1,170,14,Virginia Tech
35,35,34,11.034,Evan Smotrycz,Jr,6.8,230,29,Maryland
36,36,34,10.8,Ben Emelogu,Fr,6.5,205,20,Virginia Tech
37,37,34,11.034,Cameron Wright,Jr,6.4,205,29,Pittsburgh
38,38,36,10.345,Ralston Turner,Jr,6.5,209,29,NC State
39,39,37,10.103,Brice Johnson,So,6.9,210,29,North Carolina
40,40,37,10.103,Garrius Adams,,6.6,200,29,Miami (FL)
41,41,39,9.793,Nick Faust,So,6.6,175,29,Maryland
42,42,40,9.5,Devin Wilson,Fr,6.4,185,28,Virginia Tech
43,43,41,9.393,Rod Hall,Jr,6.1,210,28,Clemson
44,44,42,9.379,J.P. Tokoto,So,6.5,200,29,North Carolina
45,45,43,9.321,Rasheed Sulaimon,So,6.4,190,28,Duke
46,46,44,9.172,Desmond Lee,Jr,6.4,194,29,NC State
47,47,44,9.172,Coron Williams,,6.1,175,29,Wake Forest
48,48,46,9,Joe Rahon,So,6.2,195,29,Boston College
49,49,46,9,Anthony `Cat` Barber,Fr,6.2,165,29,NC State
50,50,48,8.867,Justin Anderson,So,6.6,227,30,Virginia
51,51,49,8.862,Tyler Cavanaugh,Fr,6.9,230,29,Wake Forest
