switch,arsenic,dist,assoc,educ
1,2.36,16.82600021,0,0
1,0.71,47.3219986,0,0
0,2.07,20.96699905,0,10
1,1.15,21.48600006,0,12
1,1.1,40.87400055,1,14
1,3.9,69.51799774,1,9
1,2.97,80.71099854,1,4
1,3.24,55.14599991,0,10
1,3.28,52.64699936,1,0
1,2.52,75.0719986,1,0
1,3.13,29.77400017,1,5
1,3.04,34.50400162,0,0
1,2.91,63.80400085,1,0
1,3.21,73.60399628,1,0
1,1.7,67.65499878,1,0
1,1.8,80.66000366,1,7
1,1.44,52.18199921,0,7
1,1.43,52.18199921,1,7
1,2.33,50.5340004,1,0
1,2.83,31.42200089,0,10
1,1.79,33.00899887,1,7
1,2.54,37.87099838,0,0
1,2.25,48.3730011,1,5
1,2.42,47.30899811,0,0
1,1.62,67.78500366,0,8
1,2.34,81.13800049,1,8
1,3.49,95.45999908,0,10
1,2.13,114.4179993,0,16
1,0.93,157.6289978,1,10
1,3.36,151.9199982,1,10
1,1.49,107.6910019,0,10
1,0.83,105.6679993,0,10
1,1.37,105.6259995,1,0
0,2.8,107.6910019,0,0
0,0.81,107.6910019,0,0
1,1.48,125.3170013,1,3
0,1.92,107.6910019,1,0
1,2.74,107.6910019,0,10
1,2.49,107.6910019,1,0
0,3.95,107.6910019,0,0
1,2.75,107.6910019,0,0
1,2.91,54.56999969,0,0
1,0.83,54.56999969,0,0
1,3.67,54.56999969,1,5
1,2.9,54.56999969,0,0
1,0.78,54.56999969,1,10
0,2.52,3.618000031,1,5
1,2.48,58.16699982,0,0
1,4.47,72.34600067,0,8
1,1.52,40.31800079,0,0
1,1.8,67.21900177,0,0
0,0.51,99.01300049,0,0
1,0.64,115.913002,1,0
1,1.01,71.7990036,1,5
1,0.74,141.5359955,0,8
1,1.81,84.64600372,1,0
1,2.69,65.93199921,0,0
1,4.85,67.94000244,1,0
1,3.18,64.69799805,0,6
1,5.06,62.63499832,1,10
1,2.69,47.9090004,0,10
1,0.57,24.00300026,0,12
1,4.55,17.98200035,0,7
0,3.91,11.14700031,1,6
1,0.89,39.97700119,1,5
0,1,69.1309967,0,0
1,0.95,37.65299988,1,0
1,3.55,32.07099915,1,7
1,4.52,19.08399963,0,5
1,4.76,23.91200066,0,0
1,1.99,28.55999947,1,5
0,2.85,21.96500015,0,0
0,0.81,91.00700378,0,0
1,2.85,26.51300049,1,8
1,2.18,23.3239994,0,3
1,4.23,31.59199905,0,5
1,1.92,31.3239994,1,0
1,1.63,38.84899902,0,8
1,5.45,9.126000404,1,0
0,1.57,19.38199997,0,8
1,1.94,12.46100044,0,8
1,1.58,14.93700027,0,0
1,0.67,13.21899986,1,5
1,1.4,6.829999924,0,5
0,1.18,30.40600014,1,3
0,0.77,18.5510006,1,5
0,0.77,24.82900047,0,0
1,1.44,28.67099953,0,12
0,0.77,20.87100029,1,5
1,0.77,20.12000084,1,0
0,0.73,13.49400043,1,5
1,1.9,19.19199944,0,0
0,0.72,28.64599991,0,8
0,0.88,16.16600037,0,0
0,1.04,27.4279995,0,5
0,1.21,15.83899975,1,0
1,1.44,14.41800022,1,5
0,0.64,29.27799988,1,14
0,0.8,43.94400024,1,14
1,1.93,20.22999954,0,0
0,0.56,50.09199905,0,5
0,1.32,66.87999725,0,5
0,0.52,69.48200226,0,3
0,1.19,48.70800018,1,5
0,1.18,22.63599968,1,12
0,1.26,10.12300014,0,5
0,0.88,42.82799911,0,8
0,3.16,21.0890007,0,5
0,2.12,47.5340004,0,5
1,0.76,15.71199989,0,5
0,0.56,12.18500042,0,5
0,0.62,23.55900002,0,0
1,1.03,1.84800005,0,5
0,0.78,90.92099762,0,5
0,1.02,93.82800293,1,5
0,0.65,82.10600281,1,9
1,2.29,46.95600128,1,3
1,1.6,24.20999908,1,4
1,0.82,43.29000092,0,5
1,1.44,25.14699936,0,10
1,0.97,14.60400009,0,0
0,0.89,1.401000023,0,8
1,1.39,8.210000038,0,12
1,0.83,18.86800003,0,0
1,0.57,23.40099907,0,0
1,1.47,18.53199959,1,9
1,1.11,36.28699875,0,10
1,2.38,40.4980011,0,12
0,3.97,90.57099915,0,0
1,3.51,115.1579971,1,3
0,3.69,112.762001,1,0
1,2.95,93.43099976,1,0
0,3.21,97.21700287,0,0
1,3.65,88.34500122,1,0
1,4.42,41.10400009,1,5
1,4.12,46.24000168,0,3
1,3.62,65.35399628,1,3
1,3.8,43.73500061,1,2
1,4.46,61.57099915,0,5
1,4.04,78.41500092,1,0
1,3.32,63.5019989,0,5
0,2.07,69.26899719,1,5
1,1.43,57.92900085,1,6
1,2.3,85.38700104,0,5
1,1.41,110.6090012,0,5
1,2.34,111.4899979,1,0
1,1.5,176.1970062,0,0
0,1.44,172.1080017,0,0
0,1.54,177.8029938,0,0
1,1.35,22.67099953,1,0
1,0.54,27.88100052,1,5
1,1.17,19.26000023,0,8
0,1.02,24.5,0,0
1,1.11,6.632999897,0,5
0,0.52,7.040999889,0,10
0,0.56,30.31399918,1,8
1,0.61,21.97900009,1,0
1,2.17,10.45800018,1,5
0,0.61,74.99900055,0,5
1,0.96,81.97100067,1,3
1,0.94,92.1760025,1,5
1,0.93,106.6080017,1,3
0,1.02,103.060997,1,4
0,1.24,86.60500336,0,0
0,1.42,110.5619965,0,5
0,1.31,122.3259964,0,5
0,0.83,122.0189972,0,0
0,2.64,57.63299942,1,2
0,1.84,39.59600067,0,5
0,2.48,39.51599884,0,0
0,1.27,21.55500031,0,10
0,0.69,51.7480011,0,0
1,0.61,13.52099991,1,5
0,0.89,31.45400047,0,5
1,0.75,89.43099976,0,5
0,0.81,19.26399994,1,0
0,1.81,53.36299896,1,9
0,1.25,30.12899971,1,0
1,1.12,27.13699913,1,9
1,0.71,28.71199989,1,0
1,2.16,20.63999939,1,0
1,1.7,36.75,0,5
1,1.84,49.68000031,0,5
0,1.26,102.7109985,1,0
0,2.53,108.6159973,1,0
0,2.95,96.43599701,0,0
0,0.62,100.8610001,0,0
1,3.01,137.8999939,0,10
0,2.56,124.6709976,1,5
1,1.97,151.0659943,0,10
0,1.2,121.5759964,1,5
0,0.89,32.84999847,0,0
0,0.52,8.546999931,0,10
1,2.49,27.97400093,0,4
1,1.25,29.45800018,0,0
0,1.13,19.65999985,1,5
1,1.13,47.70899963,0,12
1,0.52,71.52300262,0,10
1,0.88,67.1760025,1,10
0,3.48,69.96700287,0,5
0,0.56,83.5719986,0,10
0,1.35,71.42500305,0,5
1,1.67,71.42500305,0,0
0,1.92,71.42500305,0,10
0,2.41,190.2879944,0,7
0,2.36,186.3049927,0,5
0,2.41,218.3000031,0,0
1,1.46,53.54399872,0,14
1,2,63.60200119,0,0
1,1.32,67.49299622,0,5
1,1.75,66.73600006,0,5
1,1.84,47.99599838,0,0
0,1.72,54.41600037,0,5
0,1.77,94.72299957,0,5
1,2.77,70.77400208,0,7
1,0.73,11.2489996,1,0
1,0.69,4.880000114,1,0
0,0.58,18.14299965,1,5
1,0.52,15.77900028,1,12
1,0.62,0.386999995,1,5
1,3.33,14.96500015,1,5
0,0.51,24.67700005,0,0
0,1.26,17.50699997,1,0
1,0.6,22.88199997,0,5
1,0.59,6.796000004,0,5
1,0.66,8.99600029,1,0
1,0.74,2.40899992,1,0
1,0.71,9.305999756,1,0
1,0.86,21.99600029,1,7
0,0.51,14.07699966,0,10
1,0.58,29.64900017,1,5
0,0.55,11.37699986,0,5
1,1.26,29.54100037,0,0
0,0.52,33.36700058,0,10
0,0.83,26.71500015,0,10
0,0.57,21.11800003,0,5
0,0.53,71.48200226,0,0
0,0.67,71.63700104,1,0
1,3.5,23.83099937,0,5
1,2.8,5.728000164,1,12
1,0.77,15.81499958,1,5
1,0.74,32.5870018,1,5
1,0.77,40.13100052,0,10
1,1.58,49.63800049,1,2
1,0.8,24.88699913,0,10
0,0.55,47.67100143,1,0
1,0.9,56.5909996,1,10
0,0.52,74.11699677,0,8
1,2.59,81.84899902,1,0
1,1.27,86.09400177,1,8
0,0.97,71.80599976,0,14
0,1.47,61.74499893,1,4
0,1.03,25.04500008,0,12
0,0.93,19.92900085,1,2
0,0.79,50.11899948,0,10
0,0.66,53.81600189,1,5
0,0.85,33.50299835,1,10
0,0.93,58.35599899,0,5
0,1.42,17.95400047,0,12
0,0.75,28.02700043,0,4
0,1.46,31.66799927,0,8
0,1.16,34.43700027,0,5
0,1.17,50.95199966,0,15
1,0.83,60.75299835,1,0
1,1.24,74.8769989,0,5
1,3.08,57.95999908,0,5
1,3.59,61.62400055,0,0
1,1.96,76.06600189,0,7
1,1.67,105.8669968,0,5
0,1.69,112.6750031,0,0
0,2.71,197.1349945,1,5
0,1.27,304.0969849,1,5
0,1.43,339.5310059,0,4
0,1,70.27100372,0,5
0,0.52,92.7440033,0,5
0,0.65,55.92100143,0,9
0,0.7,50.82899857,1,0
0,0.51,37.60100174,0,0
0,1.02,17.93099976,0,0
1,2.05,11.81700039,0,5
1,0.77,18.79700089,1,0
1,1.2,17.57500076,0,5
1,0.62,22.44300079,0,5
1,1.31,27.02599907,1,5
1,1.79,17.13999939,0,0
1,0.56,25.45400047,0,0
1,0.77,45.57600021,0,5
1,0.66,52.76100159,0,0
1,1.1,30.54100037,0,0
1,0.82,16.39900017,1,5
1,2.22,29.31900024,0,5
1,2.82,36.06100082,1,0
0,0.64,22.60700035,0,6
1,1.26,27.14100075,1,6
1,1.53,9.44699955,1,5
1,1.8,16.6970005,0,0
1,1.24,50.47700119,1,8
0,0.93,9.223999977,0,5
1,0.54,6.931000233,1,6
1,0.82,27.29199982,0,5
1,0.61,25.29500008,0,5
0,0.71,52.7120018,1,5
1,0.81,51.72900009,0,4
1,0.65,68.5719986,1,4
1,0.68,23.67900085,1,0
1,1.26,45.20199966,1,9
1,0.92,9.168999672,0,5
1,1.25,16.37100029,1,0
1,1.16,19.41699982,0,5
1,0.76,57.79299927,1,5
1,1.2,43.27199936,0,10
0,0.9,19.84000015,0,9
1,0.52,5.179999828,0,5
1,0.53,42.68500137,0,8
0,0.64,5.162000179,1,8
1,1.96,38.9640007,1,10
1,0.59,58.09799957,0,9
1,1.48,61.59000015,0,9
1,1.78,32.59400177,0,0
1,1.41,30.16399956,0,5
1,1.5,18.52199936,0,5
1,1.86,24.77499962,0,12
1,1.6,35.43600082,1,5
1,0.7,31.3409996,0,10
0,0.51,15.5710001,1,5
1,2.48,27.17300034,0,0
1,0.63,49.0340004,0,10
1,1.07,135.3200073,1,0
0,0.71,37.77799988,0,7
1,1.12,3.779000044,1,8
0,0.53,49.16899872,0,0
0,0.58,50.72399902,1,0
1,1.31,26.21699905,0,12
1,1.49,20.91399956,0,12
1,0.86,3.312000036,0,5
1,0.64,35.71500015,0,10
1,1.44,52.29199982,0,0
0,1.52,60.14599991,0,5
1,1.27,44.46099854,0,0
0,2.17,70.02200317,1,0
0,1.73,95.80799866,0,5
1,1.93,121.7639999,0,9
1,2.2,127.5660019,0,5
1,1.6,120.1529999,0,8
1,1.65,66.21499634,0,0
0,0.81,54.97299957,1,0
0,1.86,73.21499634,0,5
0,1.93,33.36600113,1,5
1,1.9,87.31400299,0,5
0,4.06,95.30899811,0,5
1,4.03,128.0950012,1,3
1,1.56,109.7770004,0,10
0,2.53,138.5789948,0,0
0,3.41,162.2640076,0,0
0,2.21,155.7859955,0,0
0,2.92,105.651001,0,5
0,2.06,93.96199799,0,5
1,3.89,72.10199738,0,5
1,2.88,55.54899979,0,0
0,1.39,49.69599915,0,0
1,2.07,45.51100159,0,10
0,1.46,50.58200073,0,0
1,1.51,81.20600128,0,5
0,3.23,95.77100372,0,5
1,4.21,76.50800323,0,5
1,2.49,56.63800049,0,5
1,0.78,38.98199844,1,0
1,2.32,30.83699989,0,0
1,1.43,60.71900177,0,7
1,1.71,29.60099983,0,0
1,1.99,77.13500214,0,5
1,2.48,95.09999847,0,0
1,4.29,50.39300156,1,10
1,3.88,49.72100067,0,0
1,3.04,72.52999878,1,0
1,3.36,25.67700005,1,10
1,3.44,8.024000168,1,10
0,1.38,63.67900085,0,5
0,1.9,53.31499863,0,10
1,2.79,45.97800064,0,0
1,3.73,69.61799622,0,10
1,2.04,72.21700287,0,0
1,2.09,55.55199814,0,0
1,2.63,81.3789978,1,0
1,3.3,81.13200378,1,0
1,3.25,51.70899963,0,6
1,1.53,55.77899933,0,5
1,2.6,26.97299957,0,5
1,2,28.21500015,0,0
1,2.82,71.96099854,1,0
1,2.56,75.52600098,0,0
0,3.62,45.06999969,0,0
1,5.25,80.68000031,0,0
1,1.59,96.94000244,0,0
1,2.21,115.3270035,0,0
1,2.42,108.5469971,0,3
1,2.36,86.93699646,0,0
1,1.22,94.14199829,0,0
1,3.93,81.89600372,1,0
0,4.93,54.95999908,0,0
1,1.91,46.61000061,0,0
1,2.33,68.0739975,0,0
1,2.18,102.3980026,0,0
1,4.77,107.3690033,1,0
1,3.79,84.88400269,0,0
1,3.48,84.89099884,0,0
0,3.02,58.68299866,0,0
1,2.71,68.31400299,1,7
1,2.34,38.78099823,0,0
1,3.15,81.75800323,1,0
1,2.56,102.9530029,1,5
1,3.34,107.4800034,0,12
1,2.32,120.0940018,1,10
1,3.62,135,1,10
1,1.02,71.77300262,0,0
1,3.26,33.1969986,1,0
1,1.61,47.01200104,1,7
1,1.16,60.36199951,1,0
0,1.01,128.848999,1,0
0,0.67,144.0709991,1,9
0,3.17,110.4250031,0,5
0,2.44,113.0090027,1,0
0,2.26,78.97599792,0,7
1,1.65,52.93000031,1,7
1,3.86,14.00500011,0,5
1,3.32,18.47699928,1,5
1,3.19,61.95700073,0,0
1,3.42,66.06400299,1,10
1,1.66,60.31200027,0,0
1,3.35,74.92099762,0,9
1,3.09,73.83899689,0,0
1,3.59,61.17200089,0,0
1,3.88,10.80900002,1,0
1,2.94,65.90299988,1,10
1,0.95,34.52799988,1,5
1,2.6,63.9090004,0,9
1,3.24,74.84899902,0,9
1,3.32,81.55500031,0,0
1,3.26,66.43699646,0,5
1,3.27,60.45899963,0,0
1,3.4,43.48500061,0,0
1,2.91,116.4410019,0,5
1,1.48,84.87400055,0,10
1,4.35,62.29199982,0,0
1,1.87,70.10299683,0,5
1,3.01,60.56100082,0,5
0,3.05,45.2120018,0,0
1,2.62,49.69800186,0,10
1,3.26,32.44900131,0,12
1,1.92,47.01900101,1,0
1,3.44,62.61899948,0,5
1,2.57,30.17900085,0,8
1,2.97,47.64699936,1,9
0,2.95,52.09899902,1,9
1,2.28,95.0739975,0,5
1,3.17,80.70300293,0,14
1,3.69,80.42700195,0,5
0,3.08,81.58300018,1,5
1,2.86,47.3390007,1,5
0,1.95,44.95000076,1,5
1,1.78,29.7140007,0,0
0,2.2,45.55400085,0,5
1,1.71,31.55500031,0,5
0,3.86,58.22399902,0,0
1,3.45,40.83499908,0,6
1,3.97,47.84600067,0,7
1,1.39,9.772999763,0,0
0,4.81,185.2050018,0,0
1,2.08,82.625,0,4
0,2.49,112.7050018,1,5
0,1.83,98.02899933,1,0
0,1.24,112.1439972,1,0
0,1.38,133.4360046,0,10
0,1.54,163.552002,0,0
0,0.53,18.14699936,0,0
0,0.9,27.24500084,1,5
0,2.04,15.88899994,1,3
1,0.61,5.21600008,0,5
0,0.55,11.27400017,0,6
0,0.52,9.220000267,0,5
0,0.77,23.6760006,1,0
0,0.67,23.6760006,1,0
0,0.67,35.50299835,1,5
0,0.64,31.11000061,0,0
0,0.57,24.43499947,0,0
1,0.76,24.43499947,1,0
1,0.75,24.43499947,1,0
1,0.9,24.43499947,1,5
0,0.62,24.43499947,1,12
1,2.26,23.51799965,1,2
1,1.23,30.13599968,1,3
0,1.21,28.38699913,1,0
1,2.33,6.136000156,0,10
0,1.2,6.136000156,1,0
1,2.38,24.43499947,0,12
1,2.82,24.43499947,0,12
0,3.29,6.136000156,1,0
0,1.52,6.136000156,1,5
0,0.54,55.78300095,1,3
0,0.86,11.6079998,1,5
1,2.3,19.71299934,0,0
1,1.67,24.17499924,1,0
0,2.3,3.714999914,1,5
1,0.86,30.83099937,0,14
0,0.53,12.56400013,1,8
0,1.63,12.56400013,1,5
0,2.05,12.56400013,1,7
0,1.71,58.65100098,1,0
0,0.54,45.14300156,0,0
1,1.47,6.328000069,0,2
1,0.73,6.328000069,0,5
1,0.61,6.328000069,0,12
1,0.59,6.328000069,1,0
1,0.86,24.13299942,0,5
0,3.53,94.34700012,1,5
0,3.68,76.48600006,0,5
0,0.93,57.22700119,0,6
0,0.58,45.61000061,0,12
1,1.22,43.38199997,0,2
0,1.24,6.328999996,0,16
0,0.59,23.09900093,1,0
0,1.67,16.3579998,0,0
0,1.16,25.71100044,1,10
0,1.1,47.48799896,1,0
0,0.72,3.407000065,0,3
0,1.01,5.357999802,1,0
0,1.08,62.5019989,1,2
0,1.03,27.87000084,1,0
1,0.58,48.23400116,1,2
0,0.51,31.78199959,1,14
1,0.64,3.252000093,1,7
