A1,A2,A3,BV,DT,G,GM,H,H_sigma,IR,K1,K2,M1,M2,PC,UB,a,ad,albedo,class,closeness,condition_code,data_arc,diameter,diameter_sigma,dv,e,epoch,epoch_cal,epoch_mjd,equinox,est_diameter,extent,first_obs,full_name,i,id,last_obs,ma,moid,moid_ld,n,n_del_obs_used,n_dop_obs_used,n_obs_used,name,neo,om,orbit_id,pdes,per,per_y,pha,prefix,price,producer,profit,prov_des,q,rms,rot_per,saved,score,sigma_a,sigma_ad,sigma_e,sigma_i,sigma_ma,sigma_n,sigma_om,sigma_per,sigma_q,sigma_tp,sigma_w,spec,spec_B,spec_T,spkid,t_jup,tp,tp_cal,two_body,w
,,,0.713,,0.12,62.873006,3.34,,,,,,,,0.426,2.767505914,2.977345868,0.09,MBA,2640.114088,0,67279,952.4,,,0.075822766,2457000.5,20141209,57000,J2000,,974.6 x 909.4,1830-04-18,1 Ceres,10.59338616,a0000001,7/1/14,95.98917579,1.59376,620.2435792,0.214077605,,,6461,Ceres,N,80.32926547,JPL 33,1,1681.633163,4.604060679,N,,8.12302E+12,Alan B. Chamberlin,5.22931E+11,,2.557665961,0.38826,9.07417,-6.77802E+12,132.0257044,2.97E-09,3.20E-09,3.08E-08,3.82E-06,2.47E-05,3.45E-10,1.99E-05,2.71E-06,8.49E-08,0.00011527,3.11E-05,C,C,G,2000001,3.31,2456552.115,20130916.62,,72.5220327
,,,0.635,,0.11,13.80133412,4.13,,,,,,,,0.284,2.771606108,3.412605509,0.1587,MBA,2641.858001,0,68635,545,18,,0.231273628,2457000.5,20141209,57000,J2000,,582x556x500,1825-03-23,2 Pallas,34.84099788,a0000002,2/20/13,78.22870369,1.23071,478.9554107,0.213602735,,,7829,Pallas,N,173.0962476,JPL 26,2,1685.371678,4.614296176,N,,1.77813E+12,Davide Farnocchia,1.14546E+11,,2.130606708,0.54256,7.8132,-1.05022E+12,132.1129,2.18E-09,2.69E-09,1.93E-08,2.14E-06,4.88E-06,2.52E-10,3.74E-06,1.99E-06,5.36E-08,2.27E-05,5.54E-06,B,B,B,2000002,3.043,2456634.265,20131207.77,,309.9303277
,,,0.824,,0.32,1.807270833,5.33,,,,,,,,0.433,2.670700241,3.352925977,0.2383,MBA,2644.457882,0,69075,233.92,11.2,,0.255448263,2457000.5,20141209,57000,J2000,,,1824-04-18,3 Juno,12.98166179,a0000003,6/1/13,33.07715333,1.03987,404.6862079,0.225822055,,,6611,Juno,N,169.8711812,JPL 102,3,1594.175554,4.364614796,N,,2.71E-44,Davide Farnocchia,1.75E-45,,1.988474504,0.51434,7.21,-1.98521E+11,5.42E-56,2.06E-09,2.59E-09,2.03E-08,2.43E-06,6.51E-06,2.61E-10,1.14E-05,1.84E-06,5.41E-08,2.88E-05,1.25E-05,Sk,Sk,S,2000003,3.298,2456854.026,20140715.53,,248.4099653
,,,0.782,,0.32,17.65286542,3.2,,,,,,,,0.492,2.361793227,2.57137916,0.4228,MBA,2649.787765,0,67680,530,,,0.08874017,2457000.5,20141209,57000,J2000,,,1827-12-11,4 Vesta,7.140427317,a0000004,3/30/13,20.86384149,1.14151,444.2414467,0.271544659,,,7107,Vesta,N,103.8513672,JPL 33,4,1325.74878,3.629702341,N,,2.65E-43,Davide Farnocchia,1.71E-44,,2.152207295,0.55596,5.342,-1.93909E+12,5.29E-55,1.22E-09,1.33E-09,1.03E-08,1.41E-06,5.53E-06,2.10E-10,2.77E-06,1.03E-06,2.39E-08,2.04E-05,7.59E-06,V,V,V,2000004,3.535,2456923.666,20140923.17,,151.1985275
,,,0.826,,,0.19251605,6.85,,,,,,,,0.411,2.573809012,3.065755252,0.2268,MBA,2645.565948,0,61678,119.07,6.5,,0.191135488,2457000.5,20141209,57000,J2000,,,1845-12-15,5 Astraea,5.368522623,a0000005,10/28/14,260.1895421,1.09535,426.2773595,0.238692953,,,2201,Astraea,N,141.5955616,JPL 90,5,1508.213773,4.129264267,N,,2.89E-45,Otto Matic,1.86E-46,,2.081862771,0.58171,16.8,-21147050000,5.77E-57,3.99E-09,4.75E-09,2.22E-08,2.68E-06,7.40E-06,5.55E-10,2.90E-05,3.51E-06,5.68E-08,3.11E-05,2.99E-05,S,S,S,2000005,3.396,2457418.654,20160131.15,,358.9289811
,,,0.822,,0.24,0.9448968,5.71,,,,,,,,0.399,2.425351345,2.913936048,0.2679,MBA,2649.3011,0,60166,185.18,2.9,,0.201449041,2457000.5,20141209,57000,J2000,,,1848-09-08,6 Hebe,14.74816234,a0000006,6/1/13,29.21424208,0.97813,380.6588521,0.260940856,,,5455,Hebe,N,138.7036218,JPL 82,6,1379.622975,3.777201849,N,,1.42E-44,Davide Farnocchia,9.15E-46,,1.936766642,0.53367,7.2745,-1.03793E+11,2.83E-56,1.83E-09,2.20E-09,1.90E-08,2.10E-06,6.92E-06,2.96E-10,1.08E-05,1.57E-06,4.60E-08,2.65E-05,1.25E-05,S,S,S,2000006,3.439,2456888.543,20140819.04,,239.4079299
,,,0.855,,,0.929930214,5.51,,,,,,,,0.484,2.38665985,2.937487753,0.2766,MBA,2650.726966,0,60168,199.83,10,,0.230794473,2457000.5,20141209,57000,J2000,,,1848-08-23,7 Iris,5.522701054,a0000007,5/18/13,72.14864865,0.848267,330.1200684,0.267311894,2,0,4780,Iris,N,259.6207451,JPL 105,7,1346.741421,3.68717706,N,,1.39E-44,Davide Farnocchia,9.01E-46,,1.835831948,0.49835,7.139,-1.02149E+11,2.79E-56,1.63E-09,2.01E-09,1.82E-08,2.46E-06,5.83E-06,2.74E-10,2.61E-05,1.38E-06,4.35E-08,2.17E-05,2.67E-05,S,S,S,2000007,3.492,2456730.596,20140314.1,,145.4612615
,,,0.885,,0.28,0.511744956,6.49,,,,,,,,0.489,2.201958126,2.546205947,0.2426,MBA,2654.734151,0,60974,135.89,2.3,,0.156337133,2457000.5,20141209,57000,J2000,,,1847-11-03,8 Flora,5.887771464,a0000008,10/12/14,71.83873366,0.875049,340.5428193,0.301641082,,,2314,Flora,N,110.9223225,JPL 98,8,1193.471385,3.267546571,N,,0,Otto Matic,0,,1.857710306,0.57742,12.865,-56212955556,0,1.92E-09,2.22E-09,2.30E-08,3.06E-06,1.03E-05,3.94E-10,2.56E-05,1.56E-06,5.04E-08,3.39E-05,2.72E-05,?,,S,2000008,3.641,2456762.34,20140414.84,,285.4669149
,,,0.858,,0.17,0.581969013,6.28,,,,,,,,0.496,2.386434728,2.678272158,0.118,MBA,2649.390328,0,60290,190,,,0.122290137,2457000.5,20141209,57000,J2000,,,1849-07-31,9 Metis,5.574443832,a0000009,8/25/14,209.6856521,1.10928,431.6984976,0.26734972,,,2362,Metis,N,68.94475295,JPL 98,9,1346.550878,3.68665538,N,,0,Otto Matic,0,,2.094597297,0.4463,5.079,-63926762500,0,3.06E-09,3.44E-09,1.76E-08,1.99E-06,9.77E-06,5.15E-10,2.43E-05,2.59E-06,4.22E-08,3.68E-05,2.61E-05,?,,S,2000009,3.518,2457562.739,20160623.24,,5.868801509
,,,0.696,,,5.806622167,5.43,,,,,,,,0.351,3.139436479,3.501344614,0.0717,MBA,2633.342631,0,59732,407.12,6.8,,0.115278056,2457000.5,20141209,57000,J2000,,,1849-05-26,10 Hygiea,3.841064231,a0000010,12/9/12,228.7037092,1.76927,688.5468059,0.177184825,,,2840,Hygiea,N,283.4211836,JPL 85,10,2031.776708,5.56270146,N,,7.502E+11,Davide Farnocchia,48171297334,,2.777528345,0.61205,27.623,-6.25982E+11,131.6871315,6.49E-09,7.24E-09,1.66E-08,2.24E-06,1.13E-05,5.49E-10,2.95E-05,6.30E-06,5.23E-08,6.47E-05,3.12E-05,C,C,C,2000010,3.197,2457741.513,20161219.01,,312.4581528
